Region,Code,College Name,Website,STD Code,Phone,Rural/Urban
KALABURAGI,NG,Poojya Dr. Shivakumar Swamiji School of Architecture Kalaburagi,,,,
MYSURU,AI,ADICHUNCHANAGIRI INSTITUTE OF TECHNOLOGY,http://aitckm.in/,08262,220444,Urban
MYSURU,AL,ALVAS INST. OF ENGG. AND TECHNOLOGY,http://www.aiet.org.in/,08258,262724,Urban
MYSURU,BB,BAHUBALI COLLEGE OF ENGINEERING,http://bce.org.in/,08176,257278,Rural
MYSURU,BD,BAPUJI INSTITUTE OF ENGINEERING AND TECHNOLOGY,http://www.bietdvg.edu/,08192,221461,Urban
MYSURU,BP,BEARYS INSTITUTE OF TECHNOLOGY,http://www.bitmangalore.com/,0820,22273124,Urban
MYSURU,CB,CANARA ENGINEERING COLLEGE,http://www.canaraengineering.in/,0824,2278672,Rural
MYSURU,CI,COORG INSTITUTE OF TECHNOLOGY,http://www.citcoorg.edu.in/,08274,249771,Rural
MYSURU,DM,YENEPOYA INSTITUTE OF TECHNOLOGY,http://www.yit.edu.in/,08258,262713,Urban
MYSURU,GM,GM.INSTITUTE OF TECHNOLOGY,http://gmit.ac.in/gmitnew/index.html,08192,233345,Urban
MYSURU,GE,GOVT. ENGINEERING COLLEGE CHAMARAJANAGARA,https://gec-chamarajanagara.ac.in/,08226,222572,Urban
MYSURU,GH,GOVT. ENGINEERING COLLEGE HASSAN,http://www.gechassan.ac.in/,08172,240444,Urban
MYSURU,GL,GOVT. ENGINEERING COLLEGE KUSHAL NAGAR,http://malur.in/geck/,08276,272335,Urban
MYSURU,GK,GOVT. ENGINEERING COLLEGE MANDYA,http://www.gcm.ac.in/,08230,262872,Urban
MYSURU,GR,GOVT. TOOL ROOM AND TRAINING CENTRE,https://www.karnataka.gov.in/gttc/Pages/Home.aspx,0821,262872,Urban
MYSURU,GW,GSSS INSTITUTE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,http://geethashishu.in/,0821,2581304,Urban
MYSURU,JN,JAWAHARLAL NEHRU NATIONAL COLLEGE OF ENGINEERING,http://jnnce.ac.in/jnndemo/,08182,270450,Rural
MYSURU,KV,K.V.G. COLLEGE OF ENGINEERING,http://www.kvgengg.com/,08257,231141,Rural
MYSURU,KM,KARAVALI INSTITUTE OF TECHNOLOGY,http://www.karavalicollege.com/,0824,2272375,Urban
MYSURU,MH,MAHARAJA INSTITUTE OF TECHNOLOGY MYSORE,http://www.mitmysore.in/,08236,292601,Rural
MYSURU,MT,MANGALORE INSTITUTE OF TECHNOLOGY AND ENGINEERING,http://www.mite.ac.in/,08258,262695,Urban
MYSURU,MK,MOODLAKATTE INSTITUTE OF TECHNOLOGY,http://www.mitkundapura.com/mitk/,08254,237235,Rural
MYSURU,NN,NIE INST. OF TECHNOLOGY,https://nieit.ac.in/,0821,2403733,Urban
MYSURU,PA,P.A.COLLEGE OF ENGINEERING,http://pace.edu.in/,0824,2284701,Rural
MYSURU,PM,PES INSTITUTE OF TECHNOLOGY AND MGMT.,http://pestrust.edu.in/pesitm/,08182,233796,Urban
MYSURU,RA,RAJEEV INST. OF TECHNOLOGY,http://www.rithassan.org/,08172,231022,Urban
MYSURU,SH,SHREE DEVI INSTITUTE OF TECHNOLOGY,http://sdc.ac.in/sdit/,0824,2254104,Urban
MYSURU,SM,SJM INSTITUTE OF TECHNOLOGY,http://sjmit.ac.in/,08194,222866,Urban
MYSURU,SU,SRI DHARMASTHAL MANJUNATHESHWAR INSTITUTE OF TECHNOLOGY,http://www.sdmit.in/,08256,236225,Urban
MYSURU,JE,SRI JAYACHAMRAJENDRA COLLEGE OF ENGG. EVENING,https://sjce.ac.in/,0821,2512568,Urban
MYSURU,SN,SRINIVAS INSTITUTE OF TECHNOLOGY,https://sjce.ac.in/,0824,2274730,Urban
MYSURU,VM,VIDYA VIKAS INSTITUTE OF ENGINEERING AND TECHNOLOGY,http://vidyavikasengineering.com/,0821,2471232,Urban
MYSURU,VP,VIVEKANANDA COLLEGE OF ENGINEERING AND TECHNOLOGY,http://www.vcetputtur.ac.in/,08251,234555,Rural
MYSURU,YG,NAVKIS COLLEGE OF ENGINEERING HASSAN,http://navkisce.ac.in/,08172,297464,Urban
MYSURU,MW,SHRI MADHWA VADIRAJA INSTITUTE OF TECHNOLOGY & MANAGEMENT,http://sode-edu.in/,0820,4294005,Urban
MYSURU,AD,ACADEMY FOR TECHNICAL AND MANAGEMENT EXCELLENCE,http://atme.in/,0821,2900611,Urban
MYSURU,UB,UBDT ENGINEERING COLLEGE DAVANAGERE (Constituent College of VTU),http://www.ubdtce.org/,08192,233414,Urban
MYSURU,MG,G MADEGOWDA INSTITUTE OF TECHNOLOGY,http://www.gmitmandya.org.in/,08232,235026,Urban
MYSURU,JD,JAIN INSTITUTE OF TECHNOLOGY,http://www.jitd.in/,08192,235707,Urban
MYSURU,MR,MANGALORE MARINE COLLEGE & TECHNOLOGY,http://www.cmcmmct.com/,0824,2265320,Rural
MYSURU,CA,CAUVERY INSTITUTE OF TECHNOLOGY,http://www.cauveryinstitute.com/,08232,291999,Rural
MYSURU,MA,MYSORE SCHOOL OF ARCHITECTURE,http://msa.edu.in/,0821,2970895,Urban
MYSURU,ED,BEARYS ENVIRONMENT ARCHITECTURE DESIGN SCHOOL MANGALORE,http://beads.edu.in/,0821,2471133,Urban
MYSURU,MO,MYSORE COLLEGE OF ENGINEERING AND MANAGEMENT,http://www.mycem.edu.in/,0821,2971173,Urban
MYSURU,MU,MYSURU ROYAL INSTITUTE OF TECHNOLOGY,http://mysururoyal.org/,,,Urban
MYSURU,CM,WADIYAR CENTRE FOR ARCHITECTURE,http://wcfa.ac.in/,0821,"2334999,2431999",Urban
MYSURU,MN,Maharaja Institute of Technology,http://www.mitt.edu.in/,0821,3248795,Urban
MYSURU,JK,A. J. Institute of Engineering,http://www.ajengineering.in/,0824,2455048,Urban
MYSURU,HG,GOVERNMENT ENGINEERING COLLEGE MOSALE HOSAHALLI,,,,
